スポット名,名称カナ,郵便番号,都道府県,市区町村,住所１,住所２,緯度,経度,詳細,営業時間,定休日,駐車場,平均予算,電話番号,URL
しずや,しずや,420-0839,静岡県,静岡市葵区,鷹匠2-10-8（パサージュ鷹匠１F）,,34.978096,138.389599,地元用宗のしらすをはじめ、お魚本来の美味しさを一人でも多くのお客様にお届けいたしたく、干物、漬け魚などこだわり商品を取りそろえてお待ちしております。,10:00～18:00,不定休,,,054-273-1660,marukai1.com
NEO TABLA Ｚａｐｐａ,,420-0839,静岡県,静岡市葵区,鷹匠2-15-10,山梨ビル1F,34.977034,138.389823,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-253-5255,
キャラバン,,420-0839,静岡県,静岡市葵区,鷹匠2-25-17,チサンクロスロード鷹匠１F,34.976018,138.389987,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-255-3539,
魚扇,,420-0839,静岡県,静岡市葵区,鷹匠2-3-9,,34.979548,138.387856,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-253-4553,
てんぷら成生,,420-0839,静岡県,静岡市葵区,鷹匠2-5-12,,34.977642,138.388401,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-273-0703,
オステリア ティアロカ,,420-0839,静岡県,静岡市葵区,鷹匠2丁目13-11-1F,,34.977259,138.390042,美味しい『しずまえ鮮魚』を食べるならココ！,【ランチ】（月・火・木・土・日曜）11:30～13:30（L.O.）／【ディナー】（月・火・木・日曜）17:30～21:00（L.O.）、（金・土曜・祝前日）17:30～22:00（L.O.）,水曜日、金曜ランチ,,,054-266-5495,http://www.osteria-tialoca.com/
魚谷長久,うおやながひさ,420-0839,静岡県,静岡市葵区,鷹匠3-22-5,,34.978356,138.390578,天然南鮪　しずまえ鮮魚専門店,11:30～14:30、17:30～23:00,無し,提携駐車場あり,,054-255-8886,
魚進,,420-0813,静岡県,静岡市葵区,長沼631,,34.98852,138.412826,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-261-8626,
吽治,うんじ,420-0858,静岡県,静岡市葵区,伝馬町6-1,SHIZUOKA109ビル６Ｆ,34.974468,138.387451,日本料理専門調理師たちが趣向を凝らす「しずまえ鮮魚使用のコースの数々」が大人気！鋭く光る技の数々に感動まちがいなし！,（昼）11:00～15:00（夜）17:00～23:00,月曜（予約は応相談）,無し,,054-252-3200,Http://un-ji.com
のみくい屋 TERU,,420-0858,静岡県,静岡市葵区,伝馬町8-13,ウエノビル1F,34.975109,138.387912,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-251-5567,
魚匠 ととや,,420-0858,静岡県,静岡市葵区,伝馬町8-9,,34.974951,138.387956,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-274-0077,
魚晴,,420-0068,静岡県,静岡市葵区,田町1-54-1,,34.975734,138.363609,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-252-2738,
魚吉,,420-0068,静岡県,静岡市葵区,田町1-9,,34.975612,138.366189,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-253-9042,
魚鉱,,420-0956,静岡県,静岡市葵区,南1451,,35.020329,138.386931,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-245-9643,
静岡第一水産(株),,420-0072,静岡県,静岡市葵区,二番町1-18,,34.97472,138.374163,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-252-3111,
オステリア・イル・カスターニョ,,420-0843,静岡県,静岡市葵区,巴町48,,34.984886,138.394053,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-247-0709,
【重複・削除】日本料理 うおかね,にほんりょうりうおかね,420-0867,静岡県,静岡市葵区,馬場町33,,34.978912,138.378254,創業嘉永弐年(1849年)より地元食材を中心に提供しています。特に駿河湾特産の桜海老のかき揚げはそのままで食べれる味と冷めてもサクサクがある絶品。また桜海老を練り込んだ桜海老団子は当店でしか味わえない一品で御土産にも最適。最近人気なのは徳川家康公が好んだ鯛の天婦羅や曜日限定の桜海老と卵の天丼「駿河月見丼」も。,【コース御予約】11:00～21:00【フリー】11:30～14:00、17:30～21:00,月(コース予約は営業),有り(2台),,054-252-0394,http://www2.wbs.ne.jp/~uokane/
シンプルズ,,420-0867,静岡県,静岡市葵区,馬場町39-3,山本ビル,34.979273,138.378182,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-221-7733,
八千代寿し鐵,,420-0013,静岡県,静岡市葵区,八千代町63-4,,34.978528,138.37511,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-255-5511,
魚利,,420-0881,静岡県,静岡市葵区,北安東3-14-23,,35.000595,138.386445,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-246-0726,
廻船漁港 福一丸,かいせんぎょこう　ふくいちまる,420-0821,静岡県,静岡市葵区,柚木191（マークイズ静岡３階）,,34.984281,138.40946,市場直送の新鮮地魚と福一漁業自慢の天然南まぐろが納得価格で食べられる船元直営の回転寿司です。,11:00～22:00,年中無休,"有(1,893台)",,054-655-2910,http://gyokofukuichimaru.com/
小倉屋(株),,420-0922,静岡県,静岡市葵区,流通センター5-6,,35.01473,138.403729,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-263-2581,
静岡イタリアン GENTILE,,420-0032,静岡県,静岡市葵区,両替町1-3-39,MA館B-1,34.97469,138.379568,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-255-5577,
日本酒酒場 萬惣屋,,420-0032,静岡県,静岡市葵区,両替町1-4-8,キャッスルホテル佐乃春１F,34.97517,138.379685,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-253-0088,
魚喜,,420-0032,静岡県,静岡市葵区,両替町2-1-5,,34.973962,138.382065,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-252-0721,
三笑亭本店,さんしょうていほんてん,420-0032,静岡県,静岡市葵区,両替町2-2-2,,34.973723,138.38169,こだわりの静岡県産牛肉とともに、しずまえ鮮魚を楽しめるお店です。,11:00～14:00、17:00～22:30（L.O.21:00）,日,無し,,054-252-2136,
くいもんや 華音,,420-0032,静岡県,静岡市葵区,両替町2-5-8,新加茂川ビル2F,34.973348,138.383796,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-273-8591,
入船鮨 両替町店,,420-0032,静岡県,静岡市葵区,両替町2-7-10,,34.972815,138.383912,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-252-9178,
菊正,,420-0032,静岡県,静岡市葵区,両替町2-7-5,,34.972962,138.383468,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-253-1586,
(有)魚武,,420-0873,静岡県,静岡市葵区,篭上4-16,,34.993053,138.369088,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-271-1070,
旬ごよみ鳥幸 さつき町店,,422-8078,静岡県,静岡市駿河区,さつき町6-10,,34.975676,138.399175,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-289-5630,
神谷魚店,,422-8062,静岡県,静岡市駿河区,稲川1-2-17,,34.967919,138.391015,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-285-3093,
三六,,422-8062,静岡県,静岡市駿河区,稲川3-6-24,,34.968021,138.394134,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-282-7987,
魚ひろ,,421-0103,静岡県,静岡市駿河区,丸子3-7-2-101号,,34.945952,138.352622,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-256-3703,
待月楼,たいげつろう,421-0103,静岡県,静岡市駿河区,丸子3305,,34.957383,138.333423,"大正八年創業、森や竹林に囲まれた約1000坪の敷地に建つ数寄屋造りの料亭が待月楼です。今から約500年前の室町時代、連歌師宗長が結んだ草庵、吐月峰柴屋寺の茶室の名が「待月」であり、「待月楼」の名はその茶室に由来します。

贅沢な空間と時間、旬の素材を使った懐石料理と伝統のとろろ汁の組み合わせは、世代をこえてお客様に喜ばれております。日本の伝統を伝えつつ新しい風を取り入れた空間の中で、心行くまで四季の味と、自然のおもてなしをご堪能ください。",,,,,054-259-0181,
高松水産,,422-8035,静岡県,静岡市駿河区,宮竹2-24-11-41,,34.950318,138.420854,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-237-8778,
我が家,,422-8006,静岡県,静岡市駿河区,曲金2-1-39,,34.975654,138.403563,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-283-7272,
スーパーおさだ(株),,421-0101,静岡県,静岡市駿河区,向敷地87-1,,34.954967,138.360557,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-259-1575,
マルナカ水産,,421-0121,静岡県,静岡市駿河区,広野3-24-5,,34.930137,138.366993,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-257-3820,
貴乃,,421-0121,静岡県,静岡市駿河区,広野4-12-8,,34.926065,138.369718,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-258-2818,
Sarry's Caf?,,421-0121,静岡県,静岡市駿河区,広野5-11-5,,34.925368,138.36952,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-259-9961,
あがらい,,421-0121,静岡県,静岡市駿河区,広野5-12-18,,34.924823,138.369626,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-257-7511,
カネタ田嶋商店,,421-0121,静岡県,静岡市駿河区,広野5-26-12,,34.924632,138.375526,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-259-2738,
大石商店,,422-8034,静岡県,静岡市駿河区,高松2277,,34.947327,138.419563,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-237-2525,
ヒシダイ大石商店,,422-8034,静岡県,静岡市駿河区,高松3373,,34.951685,138.422973,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-237-5221,
寿司光,,422-8004,静岡県,静岡市駿河区,国吉田4-25-8,,34.993081,138.435096,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-262-1024,
魚芳,,422-8021,静岡県,静岡市駿河区,小鹿1-22-7,,34.97601,138.417987,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-285-5054,
長島商店,ながしましょうてん,422-8016,静岡県,静岡市駿河区,西平松484,,34.951177,138.440621,久能街道沿いにあり、店の前から駿河湾を一望できます,8:30～17:00,不定休,8台,,054-237-1265,
カネナカ商店,,421-0123,静岡県,静岡市駿河区,石部４,,34.917471,138.359868,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-259-2625,
海どん,,422-8062,静岡県,静岡市駿河区,泉町5-34,,34.967827,138.387576,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-281-5465,
さかなや食堂,,422-8017,静岡県,静岡市駿河区,大谷448-1,,34.967942,138.426478,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-283-3823,
寿限無,,421-0136,静岡県,静岡市駿河区,大和田8-7,,34.933689,138.357819,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-259-5842,
カネナカ池田の森店,,422-8005,静岡県,静岡市駿河区,池田1269-1,,34.981549,138.430108,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-295-9684,
神田鮮魚店,,422-8058,静岡県,静岡市駿河区,中原321-1,サトウマート内,34.957514,138.386896,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-288-6630,
魚虎支店,,422-8041,静岡県,静岡市駿河区,中田2-6-2,,34.964919,138.39417,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-285-5492,
炙り焼＆銘酒 えん,,422-8043,静岡県,静岡市駿河区,中田本町17-18,,34.955037,138.395942,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-284-6620,
魚貢,,422-8043,静岡県,静岡市駿河区,中田本町4-15,,34.958137,138.396473,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-282-6983,
魚壮,,422-8033,静岡県,静岡市駿河区,登呂5-13-18,,34.955576,138.405825,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-282-4715,
ちゃがま,,422-8033,静岡県,静岡市駿河区,登呂5-9-18,,34.957423,138.407408,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,090-9948-1103,
魚誠,,421-0112,静岡県,静岡市駿河区,東新田4-17-6,,34.943213,138.375656,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-259-2569,
ル・コンテ,,422-8067,静岡県,静岡市駿河区,南町10-14,オラシオン南町Ⅱ1F,34.969985,138.38964,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-266-3886,
静岡 十千花前,しずおかじゅっせんかぜん,422-8067,静岡県,静岡市駿河区,南町3-2,,34.969432,138.388809,毎日由比港より直接しずまえ鮮魚が届きます。,17:00～24:00,無し,無し,,054-280-0888,
二つ目商店,ふたつめしょうてん,422-8067,静岡県,静岡市駿河区,南町5-35,,34.969546,138.38984,注文が入ってから焼くカツオのたたきとしずまえ鮮魚が楽しめます！,15:00～24:00,日曜日,無し,,054-288-2121,http://www.shouetsu.co.jp/
海ぼうず本店,うみぼうずほんてん,422-8067,静岡県,静岡市駿河区,南町6-11,,34.969777,138.389609,静岡おでんのイベントで２度の優勝をした海ぼうず本店。おでんとしずまえ鮮魚で乾杯しましょう！,15:00～24:00,無し,無し,,054-284-8282,http://www.shouetsu.co.jp/
賎機はん兵衛,しずはたはんべい,422-8067,静岡県,静岡市駿河区,南町6-11,,34.969777,138.389609,名物黒はんべを目の前で手作りしてくれるのはここだけ！！出来立てを味わってください！！,15:00～24:00,無し,無し,,054-282-1600,http://www.shouetsu.co.jp/
入船鮨 南町店,,422-8067,静岡県,静岡市駿河区,南町6-6,,34.970002,138.389354,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-282-1158,
しぞーかグルメ駅南酒場,えきなんさかば,422-8067,静岡県,静岡市駿河区,南町7-1,,34.970327,138.388826,とにかくしぞーかにこだわった元気な酒場。しぞーかグルメが存分に楽しめます！,15:00～24:00,無し,無し,,054-282-9100,http://www.shouetsu.co.jp/
みなみの勝手場 和夢,,422-8067,静岡県,静岡市駿河区,南町7-9,静雅ビル1F,34.969963,138.388698,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-283-1756,
二光,,422-8067,静岡県,静岡市駿河区,南町8-8,,34.97041,138.388598,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-285-1234,
大長鮨,,422-8063,静岡県,静岡市駿河区,馬渕2-13-14,,34.964858,138.386312,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-286-1434,
馬渕大阪鮨,,422-8063,静岡県,静岡市駿河区,馬渕3-14-24,,34.962875,138.388096,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-285-3654,
レストラン セ・ラ・ヴィ,,422-8063,静岡県,静岡市駿河区,馬渕4-10-6,,34.96133,138.391684,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-287-8115,
ゆたか鮮魚,,422-8063,静岡県,静岡市駿河区,馬渕4-13-26-D,,34.961155,138.389204,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-269-6733,
此花,,422-8063,静岡県,静岡市駿河区,馬渕4-14-5,,34.96125,138.388712,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,080-2643-3388,
ひめの家,,422-8036,静岡県,静岡市駿河区,敷地2-21-7,,34.949735,138.415591,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-237-3776,
入船鮨 登呂店,,422-8032,静岡県,静岡市駿河区,有東2-3-29,,34.961706,138.405866,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-284-5151,
平安冷蔵直売所,,421-0122,静岡県,静岡市駿河区,用宗1-27-12,,34.926212,138.366118,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-259-2398,
幸八,,421-0122,静岡県,静岡市駿河区,用宗1-28-9,,34.92732,138.367112,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-258-6603,
おおいし,,421-0122,静岡県,静岡市駿河区,用宗1-34-21,,34.925709,138.368226,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-259-6557,
瑞穂水産,,421-0122,静岡県,静岡市駿河区,用宗1-35-11,,34.925071,138.367476,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-258-6498,
大漁丸直売所,,421-0122,静岡県,静岡市駿河区,用宗1-432,,34.926715,138.366632,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-257-3414,
懐石 かじ山,,421-0122,静岡県,静岡市駿河区,用宗2-13-13,,34.924754,138.365907,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-256-2756,
武島,,421-0122,静岡県,静岡市駿河区,用宗2-13-9,,34.924946,138.366198,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-250-7284,
カネカワたがた,,421-0122,静岡県,静岡市駿河区,用宗2-14-9,,34.924618,138.366396,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-258-6051,
アジア食堂 amakara,,421-0122,静岡県,静岡市駿河区,用宗2-17-11,,34.923762,138.366021,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,090-8953-1328,
どんぶりハウス,,421-0122,静岡県,静岡市駿河区,用宗2-18-1,,34.924248,138.366432,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-259-2111,
清水漁協用宗支所直売所,,421-0122,静岡県,静岡市駿河区,用宗2-18-1,,34.924248,138.366432,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-259-2111,
じゅん,,421-0122,静岡県,静岡市駿河区,用宗3-17-10,,34.920918,138.366699,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-259-8635,
KURAYA KATO,,421-0122,静岡県,静岡市駿河区,用宗3-5-38,,34.92326,138.362829,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-260-4959,
武島魚店,,421-0122,静岡県,静岡市駿河区,用宗4-4-5,,34.922765,138.362777,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-259-2345,
カネヒデ小林商店,,421-0122,静岡県,静岡市駿河区,用宗5-2-8,,34.921379,138.360977,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-259-2181,
マルカイ本店,まるかいほんてん,421-0122,静岡県,静岡市駿河区,用宗5-20-20,,34.919121,138.361954,しらすの町。用宗の地でしらす一筋60余年地域のお客様に愛されるよう努めております。,8:00～17:00,不定休,,,054-259-2329,marukai1.com
どんぶりやありがとう食堂,,424-0822,静岡県,静岡市清水区,旭町6-8,役所内,35.015891,138.489533,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-368-4100,
魚光,,424-0114,静岡県,静岡市清水区,庵原町127-4,,35.044051,138.483655,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-7213,
魚鉄,,424-0114,静岡県,静岡市清水区,庵原町445-1,,35.047001,138.480167,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-7123,
ヒバリヤ高部店,ひばりやたかべてん,424-0008,静岡県,静岡市清水区,押切1941,,35.034665,138.456905,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,9:30～21:00,無し,あり,,054-348-1133,
紫栄,,424-0008,静岡県,静岡市清水区,押切593-2,,35.028536,138.458299,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-346-4411,
魚多,,424-0008,静岡県,静岡市清水区,押切786-1,,35.028674,138.455519,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-346-1757,
魚金,,424-0036,静岡県,静岡市清水区,横砂西町5-4,,35.039144,138.497426,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-7085,
武蔵,,424-0036,静岡県,静岡市清水区,横砂西町8-34,,35.038388,138.495407,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-366-1350,
小川商店,,424-0034,静岡県,静岡市清水区,横砂中町16-25,,35.042676,138.499212,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-0557,
魚正,,424-0035,静岡県,静岡市清水区,横砂南町9-5,,35.041296,138.501762,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-0523,
魚忠,,421-3203,静岡県,静岡市清水区,蒲原2-11-9,,35.12121,138.609356,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-385-3376,
【重複・削除】鮨処やましち,すしどころやましち,421-3203,静岡県,静岡市清水区,蒲原3-3-10,,35.118991,138.605759,地元で「活き桜えび」専用水槽唯一設置店、シーズン中のみのお楽しみです。,11:00~21:00,火曜日,8台,,054-388-2339,sushi-yamashiti@fancy.ocn.ne.jp
蒲原の味処 よし川,かんばらのあじどころ　よしかわ,421-3203,静岡県,静岡市清水区,蒲原3-5-18,,35.118499,138.604053,地元でしか味わえない、桜えび・シラスなど、しずまえ鮮魚をお得なランチセットでお楽しみいただけます！,11:00～21:00（ラストオーダー20:0030分）,月曜日(祝日は営業),25台,,054-385-2524,http://unagi-yoshikawa.com
魚安,,421-3203,静岡県,静岡市清水区,蒲原3-7-6,,35.117746,138.602534,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-385-2563,
(株)カネホン,かぶしきかいしゃかねほん,421-3203,静岡県,静岡市清水区,蒲原4-15-13,,35.116755,138.603098,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,9:00～17:00,土・日・祝,あり（２台）,,054-385-4375,http://www.kanehon.net
(有)サトー,ゆうげんさとー,421-3203,静岡県,静岡市清水区,蒲原4-15-15,,35.116921,138.603112,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,8:00～16:30,土・日・祝,あり（２台）,,054-388-2344,http://www.kaneyo.net/
水谷商店,みずたにしょうてん,421-3203,静岡県,静岡市清水区,蒲原4-23-24,,35.118049,138.605112,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,8:00～17:00,土(不定休）・日・祝,あり（２台）,,054-385-3027,https://mizutani.ocnk.net.ct/
古郡商店,ふるごおりしょうてん,421-3203,静岡県,静岡市清水区,蒲原4-26-45,,35.117138,138.607175,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,9:00～17:00,土午後・日・祝,あり（２台）,,054-385-3509,http://www.e-sakuraebi.com
魚律,,421-3203,静岡県,静岡市清水区,蒲原4-32-2,,35.118855,138.607828,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-385-2659,
(有)友和丸,,421-3203,静岡県,静岡市清水区,蒲原5183,,35.123052,138.624704,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-388-3038,
(株)ヤマトミ,,421-3212,静岡県,静岡市清水区,蒲原小金147-7,,35.114708,138.591941,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-385-3456,
(株)ヤママル,かぶしきかいしゃやままる,421-3212,静岡県,静岡市清水区,蒲原小金220-1,,35.116413,138.594468,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,8:00～16:00,土・日・祝,あり（1台）,,054-388-2880,yama-maru.com
秋田屋,,421-3212,静岡県,静岡市清水区,蒲原小金342-2,,35.115933,138.590243,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-388-2575,
大石商店,,421-3212,静岡県,静岡市清水区,蒲原小金448-2,,35.116727,138.594168,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-385-5438,
ヤマト食品(株),やまとしょくひんかぶしきかいしゃ,421-3211,静岡県,静岡市清水区,蒲原新田1-1-30,,35.116274,138.601048,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,9:00～17:00,土・日・祝,あり（５台）,,054-385-4161,http://www.yamatosyokuhin.com/
桜えびと削り節の専門店カネジョウ直売店,さくらえびとけずりぶしのせんもんてんかねじょうちょくばいてん,421-3211,静岡県,静岡市清水区,蒲原新田2-8-13,,35.117438,138.596462,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,9:00～17:00,土・日・祝,あり（２台）,,054-385-6181,http://www.kanejo.jp/
松下魚店,,421-3215,静岡県,静岡市清水区,蒲原神沢200-1,,35.113216,138.57767,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-385-2231,
朝原商店,,421-3213,静岡県,静岡市清水区,蒲原中151-1,,35.113177,138.586591,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-388-2013,
(株)まるげん,かぶしきかいしゃまるげん,421-3213,静岡県,静岡市清水区,蒲原中302-7,,35.113755,138.585191,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,9:00～17:00,土・日・祝,あり（２台）,,054-388-2220,http://www.marugen.net/
樽八鮨 吉川支店,,424-0055,静岡県,静岡市清水区,吉川100-8,,35.014573,138.459636,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-345-7924,
ヒバリヤ吉川店,ひばりやきっかわてん,424-0055,静岡県,静岡市清水区,吉川764,,35.019692,138.458008,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,9:30～19:00,無し,あり,,054-344-2300,
魚格,うおかく,424-0206,静岡県,静岡市清水区,興津清見寺町97,,35.046668,138.512466,"遠方からも絶えずお客様が来店する知名度抜群の人気の鮮魚店。港から近い地の利を活かし、駿河湾の地の魚をふんだんに使った刺身の豊富な品揃えが自慢です。お店オリジナルの揚げはんぺんなど、美味しい加工品もあります。
港から近い地の利を活かし、駿河湾の地の魚をふんだんに使った刺身の豊富な品揃えが自慢です。
お店オリジナルの揚げはんぺんなど、美味しい加工品もあります。",10:00～16:00,土曜日,有,,054-369-0336,
松寿,しょうじゅ,424-0204,静岡県,静岡市清水区,興津中町1219,,35.061449,138.527239,新鮮な海の幸を四季の味で、ご家族連れから、お酒の飲めない方まで楽しんでいただけるお店でありたいと願っております。別棟に宿泊施設を完備しております。,11:00～14:00　　　16:00～21:30,火曜日,有,,054-369-0655,
寿し辰,すしたつ,424-0204,静岡県,静岡市清水区,興津中町1416-12,,35.058866,138.523748,ご主人の優しい人柄があふれる気軽なお寿司屋さん。しずまえの新鮮なネタを職人の技で活かしています。,11:00～13:30　　16:00～21:00,水曜日　第４火曜日,有,,054-369-6151,
魚半,うおはん,424-0204,静岡県,静岡市清水区,興津中町1441-1,,35.056247,138.524387,甲州道の鮮魚店です。興津で採れたしらすなどしずまえの鮮魚と惣菜が充実しています。しずまえ鮮魚の自家製干物が好評です。,9:00～18:00,木曜日,有,,054-369-0473,
魚吉,うおきち,424-0204,静岡県,静岡市清水区,興津中町431-1,,35.052086,138.5223,興津駅前の老舗鮮魚店。プロの目利きで仕入れた鮮度抜群のしずまえ鮮魚は、地元のお寿司屋さんや老舗旅館もご用達。品揃えに絶対の自信があります。,8:00～18:00,水曜日,,,054-369-1036,
もとよし,もとよし,424-0204,静岡県,静岡市清水区,興津中町754-1,,35.057414,138.531717,由比の漁師の居酒屋「もとよし」です。 定置網で取れた地魚や朝どれ生シラス、桜えびなど由比の海の幸を一度ご賞味ください,17:00～22:00,日曜日　月曜日,有,,054-369-7023,
魚徳,うおとく,424-0203,静岡県,静岡市清水区,興津東町629,,35.063371,138.531328,鯵、鯖、秋刀魚の押し寿しが当店の自慢です（前日までにご予約ください）。自家製惣菜では、鯖の煮付け、五目豆、お寿司、牛乳寒天・フルーツ寒天が人気となっています。,8:00～18:00,日曜日,有,,054-369-0616,
